OBJECTID,CTYUA21CD,CTYUA21NM,CTYUA21NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,SHAPE_Length,SHAPE_Area
183,S12000034,Aberdeenshire, ,352284,816277,-2.7920799,57.234692,{A3D1C82D-4C5D-482C-BCBF-826403BC2413},795104.459048158,6318011418.76714
184,S12000035,Argyll and Bute, ,200740,715443,-5.2211399,56.28944,{ADC2CC63-758E-4F05-889D-7E1F9229F9C8},3795946.11257702,7005854069.48816
185,S12000036,City of Edinburgh, ,320193,669417,-3.27826,55.911201,{0776615A-3601-419B-A941-202620757835},110339.006536691,263390596.412176
186,S12000038,Renfrewshire, ,239305,664698,-4.5683398,55.848621,{243F42C4-FB34-4E5B-BCB9-27D38741B2C3},131636.108048526,261487693.123717
187,S12000039,West Dunbartonshire, ,242904,681586,-4.52074,56.0014,{636795E9-5604-4395-AC9A-A3002B490EF2},103696.856598265,177320342.664825
188,S12000040,West Lothian, ,299483,668514,-3.6090901,55.8992,{7A8AA723-5EDD-4447-8DF6-FB8F927AECF8},134896.994739104,428772888.98765
189,S12000041,Angus, ,345506,759636,-2.8921001,56.725182,{E19E9531-2AF1-4EE5-B38A-443C549D3B29},328926.663947585,2184982991.10124
190,S12000042,Dundee City, ,340291,732145,-2.9709499,56.4776,{105896EF-7951-4451-B049-3A3B9B3BB718},47831.2210168885,59800691.0851123
191,S12000045,East Dunbartonshire, ,261240,676154,-4.2241702,55.95829,{E68AF42B-7306-49A1-96BB-EB3E4381412F},99602.3601592653,174489023.422349
192,S12000047,Fife, ,339187,704721,-2.9825101,56.231121,{590C60DD-EEFC-48ED-9FBF-BAE4BBED3B39},358326.920220926,1325190177.81807
193,S12000048,Perth and Kinross, ,284302,744185,-3.88484,56.575279,{CBF13A1B-B7DB-4EED-80AD-C5B1F48AF6F7},633252.328522911,5383770897.17152
194,S12000049,Glasgow City, ,261534,667033,-4.2147899,55.876492,{046ACCA6-6418-43E0-9926-AC8183D851CE},135582.99800793,174621293.706873
195,S12000050,North Lanarkshire, ,277984,665608,-3.9514,55.868141,{A42E1242-AB0C-4433-99CA-FF0D5FA9C26E},163984.671595743,472309075.162361
196,W06000001,Isle of Anglesey,Ynys Môn,245217,378331,-4.3229799,53.279308,{ABAC625D-C793-45CA-8FCB-8B4EE616396C},378962.153549842,715212566.823742
197,W06000002,Gwynedd,Gwynedd,280555,334966,-3.7771499,52.89883,{35190567-ECE3-426A-9EF5-B95BBC6C7BC1},643031.186078294,2548293001.49182
198,W06000003,Conwy,Conwy,283293,362563,-3.74646,53.147388,{A670EAED-689A-4972-AA36-234648063F38},283264.262204981,1130178952.57124
199,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.088329,{75A5948C-6266-48D7-91EC-5246B55B1B42},228754.688991225,838716186.145463
200,W06000005,Flintshire,Sir y Fflint,321134,369280,-3.1824801,53.21471,{279F2B69-0587-4FA0-9881-5DED67224247},239008.264926853,439830286.776266
201,W06000006,Wrexham,Wrecsam,333523,345387,-2.9920299,53.001671,{55E56DA7-DE03-4362-8B48-8C46835DD514},190040.487574015,503773487.93262
202,W06000008,Ceredigion,Ceredigion,267127,268437,-3.94993,52.297951,{9CB0DE12-52A2-49EF-9F75-720C7E3C0EC9},382134.551623007,1788379278.2018
203,W06000009,Pembrokeshire,Sir Benfro,199821,221392,-4.9081802,51.855129,{568B79D8-7008-4D97-9E79-6B820E6CFA8B},743271.4116769,1618344602.56812
204,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111001,51.894951,{930207F3-FE46-45FB-AA08-D9F978CDE6BB},591758.358208379,2371104004.24184
205,W06000011,Swansea,Abertawe,264022,197308,-3.9672301,51.658058,{F16D8104-2CD1-4C31-AA04-509324A8B0C4},270826.91229845,377614559.601041
206,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.7463801,51.644501,{24116DC8-272E-437B-B9AB-213A81FB5D69},182189.873896437,442272615.121089
207,W06000013,Bridgend,Pen-y-bont ar Ogwr,288231,185870,-3.61375,51.5606,{3F06E6C5-FBEA-4EC8-9C25-501D61CCF420},93192.1892347876,250785304.379961
208,W06000014,Vale of Glamorgan,Bro Morgannwg,302947,173080,-3.39801,51.44836,{2EC33666-D810-41F1-AC4C-25DBF432AFA5},108403.096935855,331261393.923654
209,W06000015,Cardiff,Caerdydd,315272,178887,-3.22209,51.502541,{5127F28D-4F50-4A53-9F02-51DDE8465A48},79618.4229383757,142303624.581364
210,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41359,51.621849,{6CF3FD07-FCCD-4DA8-8BE4-8197FDD57F66},130240.624602837,424150424.955384
